variable_name_letters,number,label,variable_name
UUUAAAF,0,Excluded from upper level analysis,UUU0005
UUUAAAG,0,Not applicable at higher level,UUU0006
UUUAABA,0,Complete household -may be included in upper level analysis,UUU0010
UUUAABC,0,No persons aged 0 to 14 years in the income unit,UUU0012
UUUAABD,0,No persons aged 15 to 64 years in the income unit,UUU0013
UUUAABE,0,No persons aged 65 to 99 years in the income unit,UUU0014
UUUAABF,0,No dependent children in the income unit,UUU0015
UUUAABG,0,No dependent children aged 0 to 4 in the income unit,UUU0016
UUUAABH,0,No dependent children aged 5 to 9 in the income unit,UUU0017
UUUAABI,0,No dependent children aged 10 to 12 in the income unit,UUU0018
UUUAABJ,0,No dependent children aged 13 to 14 in the income unit,UUU0019
UUUAACA,0,No dependent children aged 15 to 20 in the income unit,UUU0020
UUUAACB,0,Not applicable,UUU0021
UUUAACC,0,Not applicable,UUU0022
UUUAACD,0,Not applicable,UUU0023
UUUAACE,0,Not applicable,UUU0024
UUUAACF,0,Not applicable,UUU0025
UUUAACG,0,Not applicable,UUU0026
UUUAACH,0,Not applicable,UUU0027
UUUAACI,0,Not applicable,UUU0028
UUUAACJ,0,Not applicable,UUU0029
UUUAADA,0,Not applicable,UUU0030
UUUAADB,0,No dependent children aged 15 in the income unit,UUU0031
UUUAADC,0,Not applicable,UUU0032
UUUAADD,0,Not applicable,UUU0033
UUUAADE,0,Not applicable,UUU0034
UUUAADF,0,"Not applicable, or no government benefits, (but some income) received",UUU0035
UUUAADG,0,No dependent children aged 16 to 17 in the income unit,UUU0036
UUUAADH,0,No dependent children aged 18 to 20 in the income unit,UUU0037
UUUAADI,0,"Not applicable, or no government benefits, (but some income) received",UUU0038
UUUAAEB,0,Not applicable/ not asked,UUU0041
UUUAAED,0,Not applicable/ not asked,UUU0043
UUUAAEF,0,Not applicable/ not asked,UUU0045
UUUAAEH,0,Not applicable/ not asked,UUU0047
UUUAAEJ,0,Not applicable/ not asked,UUU0049
UUUAAFA,0,N.A.,UUU0050
UUUAAFC,0,Not applicable/ not asked,UUU0052
UUUAAFE,0,Not applicable/ not asked,UUU0054
UUUAAFG,0,Not applicable/ not asked,UUU0056
UUUAAFI,0,Not applicable/ not asked,UUU0058
UUUAAGA,0,Not applicable/ not asked,UUU0060
UUUAAGC,0,Not applicable/ not asked,UUU0062
UUUAAGE,0,Not applicable/ not asked,UUU0064
UUUAAGG,0,Not applicable/ not asked,UUU0066
