Year,Filename,Formats,IU_or_HH,dataset
1982,ids82psn.sas7bdat,,person,sih
1982,ids82unt.sas7bdat,,income_unitome_unit,sih
1986,ids86unt.sas7bdat,formats.sas7bcat,income_unitome_unit,sih
1986,ids86psn.sas7bdat,formats.sas7bcat,person,sih
1990,ids90psn.sas7bdat,formats.sas7bcat,person,sih
1990,ids90unt.sas7bdat,formats.sas7bcat,income_unitome_unit,sih
1994,ids94hsh.sas7bdat,formats.sas7bcat,household,sih
1994,ids94psn.sas7bdat,formats.sas7bcat,person,sih
1994,ids94unt.sas7bdat,formats.sas7bcat,income_unitome_unit,sih
1995,ids95hsh.sas7bdat,formats.sas7bcat,household,sih
1995,ids95psn.sas7bdat,formats.sas7bcat,person,sih
1995,ids95unt.sas7bdat,formats.sas7bcat,income_unitome_unit,sih
1996,ids96hsh.sas7bdat,formats.sas7bcat,household,sih
1996,ids96psn.sas7bdat,formats.sas7bcat,person,sih
1996,ids96unt.sas7bdat,formats.sas7bcat,income_unitome_unit,sih
1997,ids97hsh.sas7bdat,formats.sas7bcat,household,sih
1997,ids97psn.sas7bdat,formats.sas7bcat,person,sih
1997,ids97unt.sas7bdat,formats.sas7bcat,income_unitome_unit,sih
1999,ids99hsh.sas7bdat,formats.sas7bcat,household,sih
1999,ids99inc.sas7bdat,formats.sas7bcat,income_unit,sih
1999,ids99psn.sas7bdat,formats.sas7bcat,person,sih
2000,ids00hsh.sas7bdat,formats.sas7bcat,household,sih
2000,ids00inc.sas7bdat,formats.sas7bcat,income_unit,sih
2000,ids00psn.sas7bdat,formats.sas7bcat,person,sih
2002,ids02hh.sas7bdat,formats.sas7bcat,household,sih
2002,ids02iu.sas7bdat,formats.sas7bcat,income_unitome_unit,sih
2002,ids02per.sas7bdat,formats.sas7bcat,person,sih
2003,sih03bh.sas7bdat,formats.sas7bcat,household,sih
2003,sih03bi.sas7bdat,formats.sas7bcat,income_unitome_unit,sih
2003,sih03bp.sas7bdat,formats.sas7bcat,prsn,sih
2005,sih05bh64.sas7bdat,formats64.sas7bcat,household,sih
