"","x"
"1","asset_bank_deposit"
"2","asset_bonds"
"3","asset_business"
"4","asset_business_unincorp"
"5","asset_car"
"6","asset_contents"
"7","asset_house"
"8","asset_house_oth"
"9","asset_investments"
"10","asset_kids"
"11","asset_loans"
"12","asset_non_res_prop"
"13","asset_offset"
"14","asset_other"
"15","asset_partnership"
"16","asset_shares"
"17","asset_super_gov"
"18","asset_super_non_gov"
"19","asset_trust_all"
"20","asset_trust_private"
"21","asset_trust_public"
"22","equiv_hh"
"23","housing_costs"
"24","id_hh"
"25","income_disposable_0304"
"26","income_disposable_0506"
"27","income_disposable_0708"
"28","income_employee_0304"
"29","income_employee_0506"
"30","income_employee_0708"
"31","income_investments_0506"
"32","income_investments_0708"
"33","income_other_sources"
"34","income_other_sources_incl_WC"
"35","income_pensions_allowances_0506"
"36","income_pensions_allowances_0708"
"37","income_super"
"38","income_total_0304"
"39","income_total_0506"
"40","income_total_0708"
"41","income_uninc_business"
"42","liability_car_loans"
"43","liability_credit_card"
"44","liability_help"
"45","liability_house"
"46","liability_investment"
"47","liability_loans"
"48","liability_oth_all_house"
"49","liability_oth_house"
"50","liability_student"
"51","rent"
"52","rent_imputed"
"53","rent_imputed_net"
"54","wealth_net"
"55","weight"
"56","weight_10000"
"57","hvaluech_1994"
"58","trpay1ch_1994"
"59","trpay2ch_1994"
"60","trpay3ch_1994"
"61","trpay4ch_1994"
"62","ratesch_1994"
"63","towe1ch_1994"
"64","towe2ch_1994"
"65","towe3ch_1994"
"66","towe4ch_1994"
"67","iwsuch_1994"
"68","iobtch_1994"
"69","isuperch_1994"
"70","investch_1994"
"71","othsrch_1994"
"72","itgcbch_1994"
"73","iwsuph_1994"
"74","iobtph_1994"
"75","isuperph_1994"
"76","investph_1994"
"77","othsrph_1994"
"78","itgcbph_1994"
"79","inctotph_1994"
"80","dispph_1994"
"81","repwth1_1994"
"82","repwth2_1994"
"83","repwth3_1994"
"84","repwth4_1994"
"85","repwth5_1994"
"86","repwth6_1994"
"87","repwth7_1994"
"88","repwth8_1994"
"89","repwth9_1994"
"90","repwth10_1994"
"91","repwth11_1994"
"92","repwth12_1994"
"93","repwth13_1994"
"94","repwth14_1994"
"95","repwth15_1994"
"96","repwth16_1994"
"97","repwth17_1994"
"98","repwth18_1994"
"99","repwth19_1994"
"100","repwth20_1994"
"101","repwth21_1994"
"102","repwth22_1994"
"103","repwth23_1994"
"104","repwth24_1994"
"105","repwth25_1994"
"106","repwth26_1994"
"107","repwth27_1994"
"108","repwth28_1994"
"109","repwth29_1994"
"110","repwth30_1994"
"111","hvaluech_1995"
"112","trpay1ch_1995"
"113","trpay2ch_1995"
"114","trpay3ch_1995"
"115","trpay4ch_1995"
"116","ratesch_1995"
"117","towe1ch_1995"
"118","towe2ch_1995"
"119","towe3ch_1995"
"120","towe4ch_1995"
"121","iwsuch_1995"
"122","iobtch_1995"
"123","isuperch_1995"
"124","investch_1995"
"125","othsrch_1995"
"126","itgcbch_1995"
"127","iwsuph_1995"
"128","iobtph_1995"
"129","isuperph_1995"
"130","investph_1995"
"131","othsrph_1995"
"132","itgcbph_1995"
"133","inctotph_1995"
"134","dispph_1995"
"135","repwth1_1995"
"136","repwth2_1995"
"137","repwth3_1995"
"138","repwth4_1995"
"139","repwth5_1995"
"140","repwth6_1995"
"141","repwth7_1995"
"142","repwth8_1995"
"143","repwth9_1995"
"144","repwth10_1995"
"145","repwth11_1995"
"146","repwth12_1995"
"147","repwth13_1995"
"148","repwth14_1995"
"149","repwth15_1995"
"150","repwth16_1995"
"151","repwth17_1995"
"152","repwth18_1995"
"153","repwth19_1995"
"154","repwth20_1995"
"155","repwth21_1995"
"156","repwth22_1995"
"157","repwth23_1995"
"158","repwth24_1995"
"159","repwth25_1995"
"160","repwth26_1995"
"161","repwth27_1995"
"162","repwth28_1995"
"163","repwth29_1995"
"164","repwth30_1995"
"165","hvaluech_1996"
"166","trpay1ch_1996"
"167","trpay2ch_1996"
"168","trpay3ch_1996"
"169","trpay4ch_1996"
"170","ratesch_1996"
"171","towe1ch_1996"
"172","towe2ch_1996"
"173","towe3ch_1996"
"174","towe4ch_1996"
"175","iwsuch_1996"
"176","iobtch_1996"
"177","isuperch_1996"
"178","investch_1996"
"179","othsrch_1996"
"180","itgcbch_1996"
"181","iwsuph_1996"
"182","iobtph_1996"
"183","isuperph_1996"
"184","investph_1996"
"185","othsrph_1996"
"186","itgcbph_1996"
"187","inctotph_1996"
"188","dispph_1996"
"189","repwth1_1996"
"190","repwth2_1996"
"191","repwth3_1996"
"192","repwth4_1996"
"193","repwth5_1996"
"194","repwth6_1996"
"195","repwth7_1996"
"196","repwth8_1996"
"197","repwth9_1996"
"198","repwth10_1996"
"199","repwth11_1996"
"200","repwth12_1996"
"201","repwth13_1996"
"202","repwth14_1996"
"203","repwth15_1996"
"204","repwth16_1996"
"205","repwth17_1996"
"206","repwth18_1996"
"207","repwth19_1996"
"208","repwth20_1996"
"209","repwth21_1996"
"210","repwth22_1996"
"211","repwth23_1996"
"212","repwth24_1996"
"213","repwth25_1996"
"214","repwth26_1996"
"215","repwth27_1996"
"216","repwth28_1996"
"217","repwth29_1996"
"218","repwth30_1996"
"219","hvaluech_1997"
"220","trpay1ch_1997"
"221","trpay2ch_1997"
"222","trpay3ch_1997"
"223","trpay4ch_1997"
"224","ratesch_1997"
"225","towe1ch_1997"
"226","towe2ch_1997"
"227","towe3ch_1997"
"228","towe4ch_1997"
"229","iwsuch_1997"
"230","iobtch_1997"
"231","isuperch_1997"
"232","investch_1997"
"233","othsrch_1997"
"234","itgcbch_1997"
"235","iwsuph_1997"
"236","iobtph_1997"
"237","isuperph_1997"
"238","investph_1997"
"239","othsrph_1997"
"240","itgcbph_1997"
"241","inctotph_1997"
"242","dispph_1997"
"243","repwth1_1997"
"244","repwth2_1997"
"245","repwth3_1997"
"246","repwth4_1997"
"247","repwth5_1997"
"248","repwth6_1997"
"249","repwth7_1997"
"250","repwth8_1997"
"251","repwth9_1997"
"252","repwth10_1997"
"253","repwth11_1997"
"254","repwth12_1997"
"255","repwth13_1997"
"256","repwth14_1997"
"257","repwth15_1997"
"258","repwth16_1997"
"259","repwth17_1997"
"260","repwth18_1997"
"261","repwth19_1997"
"262","repwth20_1997"
"263","repwth21_1997"
"264","repwth22_1997"
"265","repwth23_1997"
"266","repwth24_1997"
"267","repwth25_1997"
"268","repwth26_1997"
"269","repwth27_1997"
"270","repwth28_1997"
"271","repwth29_1997"
"272","repwth30_1997"
"273","hvaluech_1999"
"274","trpay1ch_1999"
"275","trpay2ch_1999"
"276","trpay3ch_1999"
"277","trpay4ch_1999"
"278","ratesch_1999"
"279","towe1ch_1999"
"280","towe2ch_1999"
"281","towe3ch_1999"
"282","towe4ch_1999"
"283","iwsuch_1999"
"284","iobtch_1999"
"285","isuperch_1999"
"286","investch_1999"
"287","othsrch_1999"
"288","itgcbch_1999"
"289","iwsuph_1999"
"290","iobtph_1999"
"291","isuperph_1999"
"292","investph_1999"
"293","othsrph_1999"
"294","itgcbph_1999"
"295","inctotph_1999"
"296","dispph_1999"
"297","repwth1_1999"
"298","repwth2_1999"
"299","repwth3_1999"
"300","repwth4_1999"
"301","repwth5_1999"
"302","repwth6_1999"
"303","repwth7_1999"
"304","repwth8_1999"
"305","repwth9_1999"
"306","repwth10_1999"
"307","repwth11_1999"
"308","repwth12_1999"
"309","repwth13_1999"
"310","repwth14_1999"
"311","repwth15_1999"
"312","repwth16_1999"
"313","repwth17_1999"
"314","repwth18_1999"
"315","repwth19_1999"
"316","repwth20_1999"
"317","repwth21_1999"
"318","repwth22_1999"
"319","repwth23_1999"
"320","repwth24_1999"
"321","repwth25_1999"
"322","repwth26_1999"
"323","repwth27_1999"
"324","repwth28_1999"
"325","repwth29_1999"
"326","repwth30_1999"
"327","hvaluech_2000"
"328","trpay1ch_2000"
"329","trpay2ch_2000"
"330","trpay3ch_2000"
"331","trpay4ch_2000"
"332","ratesch_2000"
"333","towe1ch_2000"
"334","towe2ch_2000"
"335","towe3ch_2000"
"336","towe4ch_2000"
"337","iwsuch_2000"
"338","iobtch_2000"
"339","isuperch_2000"
"340","investch_2000"
"341","othsrch_2000"
"342","itgcbch_2000"
"343","iwsuph_2000"
"344","iobtph_2000"
"345","isuperph_2000"
"346","investph_2000"
"347","othsrph_2000"
"348","itgcbph_2000"
"349","inctotph_2000"
"350","dispph_2000"
"351","repwth1_2000"
"352","repwth2_2000"
"353","repwth3_2000"
"354","repwth4_2000"
"355","repwth5_2000"
"356","repwth6_2000"
"357","repwth7_2000"
"358","repwth8_2000"
"359","repwth9_2000"
"360","repwth10_2000"
"361","repwth11_2000"
"362","repwth12_2000"
"363","repwth13_2000"
"364","repwth14_2000"
"365","repwth15_2000"
"366","repwth16_2000"
"367","repwth17_2000"
"368","repwth18_2000"
"369","repwth19_2000"
"370","repwth20_2000"
"371","repwth21_2000"
"372","repwth22_2000"
"373","repwth23_2000"
"374","repwth24_2000"
"375","repwth25_2000"
"376","repwth26_2000"
"377","repwth27_2000"
