r_var_name,asset.grouping,inflate,wealth.type,1986,1990,1994,1995,1996,1997,1999,2000,2002,2003,2005,2007,2009,2011,2013,2015,2017
id_hh,,,,UUU0001,RANDOMID,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID,HHIDH,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID
inc_unit_type,,,,UUU0005,IUTYPE,,,,,,,,,,,,,,,
weight,,,,,,,,,,,,SIHHHWT,SIHHHWT,SIHHHWT,SIHHHWT,SIHHHWT,SIHHHWT,SIHHHWT,SIHHHWT,SIHHHWT
weight_10000,,,,UUU0201,WTUNITNU,WTHH,WTHH,WTHH,WTHH,WTHH,WTHH,,,,,,,,,
equiv_hh,,,,,,,,,,,,EQUIVH,EQUIVH,EQUIVH,EQUIVH,EQUIVH,EQUIVH,EQUIVH,EQUIVH,EQUIVH
age,,,,UUU0024,AGEHU,AGERH,AGERH,AGERH,AGERH,AGERH,AGERH,AGERHBC,AGERHBC,AGERHBC,AGERHBC,AGERHBC,AGERHBC,AGERHBC,AGERHEC,AGERHEC
persons,,,,UUU0006,,,,,,,,PERSHBC,PERSHBC,PERSHBC,PERSHBC,PERSHBC,PERSHBC,PERSHBC,PERSHBC,PERSHBC
persons_15_plus,,,,,,NUMMEMH,NUMMEMH,NUMMEMH,NUMMEMH,NUMMEMH,NUMMEMH,NOMEMHBC,NOMEMHBC,NOMEMHBC,NOMEMHBC,NOMEMHBC,NOMEMHBC,NOMEMHBC,NOMEMHBC,NOMEMHBC
persons_under_15,,,,UUU0012,AGEOT14U,NUMYDEPH,NUMYDEPH,NUMYDEPH,NUMYDEPH,NUMYDEPH,NUMYDEPH,NUMU15BC,NUMU15BC,NUMU15BC,,,,,,
persons_15_64,,,,UUU0013,AGE1564U,,,,,,,,,,,,,,,
persons_65_plus,,,,UUU0014,AGE6599U,,,,,,,,,,,,,,,
family_composition,,,,,,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH,DCOMPH
income_total_0304,,Yes,,UUU0196,INCTOTCU,INCTOTCH,INCTOTCH,INCTOTCH,INCTOTCH,INCTOTCH,INCTOTCH,INCTOTCH,INCTOTCH,INCTOTCH,INCTOTCH,,,,,
income_total_0506,,Yes,,,,,,,,,,,,INCTSCH,INCTSCH,INCTSCH,INCTSCH,INCTSCH,INCTSCH,INCTSCH
income_total_0708,,Yes,,,,,,,,,,,,,INCTSCH8,INCTSCH8,INCTSCH8,INCTSCH8,INCTSCH8,INCTSCH8
tax_annual,,Yes,,UUU0194,,,,,,,,,,,,,,,,
tax_weekly,,Yes,,,TAXCU,,,,,,,,,,,,,,,
