r_var_name,inflate,1986,1990,1994,1995,1997,1999,2000,2002,2005,2007,2009,2011,2013,2015,2017
id_hh,,PPP0001,IDENTNP,ABSHID,ABSHID,ABSHID,ABSHID,RANDOMID,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID,ABSHID
id_iu,,PPP0004,IUNO,ABSIID,ABSIID,ABSIID,ABSIID,IUNO,ABSIID,ABSIID,ABSIID,ABSIID,ABSIID,ABSIID,ABSIID,ABSIID
id_f,,PPP0003,FAMNONP,ABSFID,ABSFID,ABSFID,ABSFID,FAMNO,ABSFID,ABSFID,ABSFID,ABSFID,ABSFID,ABSFID,ABSFID,ABSFID
id_p,,PPP0005,PNOU,ABSPID,ABSPID,ABSPID,ABSPID,pno,ABSPID,ABSPID,ABSPID,ABSPID,ABSPID,ABSPID,ABSPID,ABSPID
income_total,Yes,PPP0073,INCTOTCP,INCTOTCP,INCTOTCP,INCTOTCP,INCTOTCP,INCTOTCP,INCTSCP,INCTSCP,INCTSCP8,INCTSCP8,INCTSCP8,INCTSCP8,INCTSCP8,INCTSCP8
tax,Yes,PPP0251,TAXCP,ITAXCP,ITAXCP,ITAXCP,ITAXCP,ITAXCP,ITAXCP,ITAXCP,ITAXCP8,ITAXCP8,ITAXCP8,ITAXCP8,ITAXCP8,ITAXCP8
inc_unit_relationship,,PPP0033,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS,IUPOS
age,,,agecp,agecp,agecp,agecp,agecp,agebc,agebc,agebc,agebc,agebc,agebc,agebc,ageec,ageec
weight_person,,,,wtpsn,wtpsn,wtpsn,wtpsn,wtpsn,wtpsn,sihpswt,sihpswt,sihpswt,sihpswt,sihpswt,sihpswt,sihpswt
weight_person_10000,,,wtpersnp,,,,,,,,,,,,,
